id,fullName,currentTeam,primaryPosition
472551,Fernando Abad,Colorado Rockies,Pitcher
671096,Andrew Abbott,null,Pitcher
676265,Cory Abbott,null,Pitcher
682928,CJ Abrams,null,Batter
656061,Albert Abreu,null,Pitcher
650556,Bryan Abreu,null,Pitcher
547989,Jose Abreu,null,Batter
642758,Domingo Acevedo,Oakland Athletics,Pitcher
670183,Garrett Acton,Oakland Athletics,Pitcher
660670,Ronald Acuna Jr.,null,Batter
592094,Jason Adam,null,Pitcher
642715,Willy Adames,null,Batter
613534,Austin Adams,null,Pitcher
656180,Riley Adams,null,Batter
686654,Ty Adcock,null,Pitcher
666176,Jo Adell,Los Angeles Angels,Batter
501303,Ehire Adrianza,Atlanta Braves,Batter
542583,Jesus Aguilar,Oakland Athletics,Batter
605113,Nick Ahmed,null,Batter
669211,Keegan Akin,null,Pitcher
593643,Hanser Alberto,Chicago White Sox,Batter
645277,Ozzie Albies,null,Batter
660896,Jorge Alcala,Minnesota Twins,Pitcher
645261,Sandy Alcantara,null,Pitcher
518397,Scott Alexander,null,Pitcher
641302,Tyler Alexander,null,Pitcher
595751,Jorge Alfaro,null,Batter
656185,Greg Allen,New York Yankees,Batter
671106,Logan Allen,null,Pitcher
669397,Nick Allen,Oakland Athletics,Batter
622075,Yency Almonte,null,Pitcher
624413,Pete Alonso,New York Mets,Batter
514888,Jose Altuve,null,Batter
666906,Jake Alu,Washington Nationals,Batter
621237,Jose Alvarado,null,Pitcher
682626,Francisco Alvarez,null,Batter
670541,Yordan Alvarez,Houston Astros,Batter
640470,Adbert Alzolay,null,Pitcher
665804,Miguel Amaya,null,Batter
605119,Brian Anderson,null,Batter
681982,Grant Anderson,null,Pitcher
623433,Nick Anderson,null,Pitcher
502624,Chase Anderson,null,Pitcher
641313,Tim Anderson,null,Batter
542881,Tyler Anderson,null,Pitcher
462101,Elvis Andrus,null,Batter
609280,Miguel Andujar,Pittsburgh Pirates,Batter
606115,Orlando Arcia,null,Batter
571448,Nolan Arenado,null,Batter
672356,Gabriel Arias,null,Batter
542888,Shawn Armstrong,null,Pitcher
668227,Randy Arozarena,null,Batter
650333,Luis Arraez,null,Batter
624414,Christian Arroyo,null,Batter
668933,Graham Ashcraft,Cincinnati Reds,Pitcher
665871,Javier Assad,null,Pitcher
640492,Jose Azocar,San Diego Padres,Batter
696147,Sam Bachman,null,Pitcher
668731,Akil Baddoo,Detroit Tigers,Batter
664056,Harrison Bader,New York Yankees,Batter
678225,Ji Hwan Bae,null,Batter
595879,Javier Baez,null,Batter
672275,Patrick Bailey,null,Batter
641329,Bryan Baker,null,Pitcher
663609,Luken Baker,null,Batter
607455,Anthony Banda,Washington Nationals,Pitcher
621383,Tanner Banks,null,Pitcher
676625,Rylan Bannon,Houston Astros,Batter
453268,Daniel Bard,null,Pitcher
669618,Joe Barlow,null,Pitcher
605130,Scott Barlow,null,Pitcher
605131,Austin Barnes,null,Batter
598264,Matt Barnes,Miami Marlins,Pitcher
571466,Tucker Barnhart,null,Batter
668663,Tres Barrera,St. Louis Cardinals,Batter
676480,Jose Barrero,Cincinnati Reds,Batter
642545,Jaime Barria,null,Pitcher
663698,Joey Bart,San Francisco Giants,Batter
542914,Anthony Bass,Toronto Blue Jays,Pitcher
605135,Chris Bassitt,null,Pitcher
685410,Peyton Battenfield,Cleveland Guardians,Pitcher
683146,Brett Baty,null,Batter
641343,Jake Bauers,null,Batter
657508,Mike Baumann,null,Pitcher
642585,Felix Bautista,null,Pitcher
607461,Matt Beaty,San Francisco Giants,Batter
663941,Tristan Beck,San Francisco Giants,Pitcher
670280,David Bednar,null,Pitcher
656222,Jalen Beeks,Tampa Bay Rays,Pitcher
605137,Josh Bell,null,Batter
571479,Andrew Bellatti,Philadelphia Phillies,Pitcher
641355,Cody Bellinger,null,Batter
678394,Brayan Bello,null,Pitcher
474832,Brandon Belt,Toronto Blue Jays,Batter
621532,Anthony Bemboom,Baltimore Orioles,Batter
643217,Andrew Benintendi,null,Batter
666181,Will Benson,null,Batter
657514,Brennan Bernardino,null,Pitcher
621244,Jose Berrios,null,Pitcher
542932,Jon Berti,null,Batter
542194,Christian Bethancourt,null,Batter
605141,Mookie Betts,null,Batter
676440,Tanner Bibee,null,Pitcher
666182,Bo Bichette,null,Batter
641360,Phil Bickford,Los Angeles Dodgers,Pitcher
674370,Osvaldo Bido,null,Pitcher
669456,Shane Bieber,null,Pitcher
656232,Brandon Bielak,null,Pitcher
624415,Cavan Biggio,null,Batter
656234,Jake Bird,null,Pitcher
621389,Ty Blach,Colorado Rockies,Pitcher
621112,Paul Blackburn,null,Pitcher
453568,Charlie Blackmon,Colorado Rockies,Batter
680118,Dairon Blanco,null,Batter
669854,Ronel Blanco,null,Pitcher
668709,JJ Bleday,null,Batter
542947,Richard Bleier,Boston Red Sox,Pitcher
593428,Xander Bogaerts,null,Batter
664761,Alec Bohm,null,Batter
675989,Cody Bolton,Pittsburgh Pirates,Pitcher
502202,Brad Boxberger,Chicago Cubs,Pitcher
571510,Matthew Boyd,null,Pitcher
611093,Silvino Bracho,Cincinnati Reds,Pitcher
674003,Cody Bradford,null,Pitcher
680694,Kyle Bradish,null,Pitcher
605151,Archie Bradley,null,Pitcher
598265,Jackie Bradley Jr.,Kansas City Royals,Batter
671737,Taj Bradley,null,Pitcher
666374,Matt Brash,null,Pitcher
518489,Ryan Brasier,Boston Red Sox,Pitcher
623211,Huascar Brazoban,Miami Marlins,Pitcher
605154,John Brebbia,null,Pitcher
608324,Alex Bregman,null,Batter
686823,Will Brennan,null,Batter
605155,Colten Brewer,New York Yankees,Pitcher
681146,Jonah Bride,null,Batter
656257,Jeff Brigham,null,Pitcher
668754,Braden Bristo,Detroit Tigers,Pitcher
666745,Jhony Brito,New York Yankees,Pitcher
641401,Connor Brogdon,Philadelphia Phillies,Pitcher
670712,Mike Brosseau,Milwaukee Brewers,Batter
686613,Hunter Brown,null,Pitcher
664913,Seth Brown,null,Batter
677865,Justin Bruihl,Los Angeles Dodgers,Pitcher
660644,Vidal Brujan,null,Batter
592178,Kris Bryant,Colorado Rockies,Batter
663460,Kris Bubic,Kansas City Royals,Pitcher
656266,J.B. Bukauskas,Seattle Mariners,Pitcher
518516,Madison Bumgarner,Arizona Diamondbacks,Pitcher
